title,author,year,publication
Sampling Network Guided Cross-Entropy Method for Unsupervised Point Cloud Registration,"Jiang Haobo , Shen Yaqi , Xie Jin , Li Jun , Qian Jianjun , Yang Jian",2021,ICCV2021
Voxel-Based Network for Shape Completion by Leveraging Edge Generation,"Wang Xiaogang , Ang Marcelo H , Lee Gim Hee",2021,ICCV2021
THUNDR: Transformer-Based 3D Human Reconstruction With Markers,"Zanfir Mihai , Zanfir Andrei , Bazavan Eduard Gabriel , Freeman William T. , Sukthankar Rahul , Sminchisescu Cristian",2021,ICCV2021
OadTR: Online Action Detection With Transformers,"Wang Xiang , Zhang Shiwei , Qing Zhiwu , Shao Yuanjie , Zuo Zhengrong , Gao Changxin , Sang Nong",2021,ICCV2021
Instance-Level Image Retrieval Using Reranking Transformers,"Tan Fuwen , Yuan Jiangbo , Ordonez Vicente",2021,ICCV2021
Mutual-Complementing Framework for Nuclei Detection and Segmentation in Pathology Image,"Feng Zunlei , Wang Zhonghua , Wang Xinchao , Mao Yining , Li Thomas , Lei Jie , Wang Yuexuan , Song Mingli",2021,ICCV2021
Accelerating Atmospheric Turbulence Simulation via Learned Phase-to-Space Transform,"Mao Zhiyuan , Chimitt Nicholas , Chan Stanley H.",2021,ICCV2021
Graph Constrained Data Representation Learning for Human Motion Segmentation,"Dimiccoli Mariella , Garrido Llu{\'\i}s , Rodriguez-Corominas Guillem , Wendt Herwig",2021,ICCV2021
Spatial and Semantic Consistency Regularizations for Pedestrian Attribute Recognition,"Jia Jian , Chen Xiaotang , Huang Kaiqi",2021,ICCV2021
Learning To Stylize Novel Views,"Huang Hsin-Ping , Tseng Hung-Yu , Saini Saurabh , Singh Maneesh , Yang Ming-Hsuan",2021,ICCV2021
Morphable Detector for Object Detection on Demand,"Zhao Xiangyun , Zou Xu , Wu Ying",2021,ICCV2021
Stacked Homography Transformations for Multi-View Pedestrian Detection,"Song Liangchen , Wu Jialian , Yang Ming , Zhang Qian , Li Yuan , Yuan Junsong",2021,ICCV2021
