title,author,year,publication,citation
Exploiting Temporal Relations on Radar Perception for Autonomous Driving,"Li Peizhao , Wang Pu , Berntorp Karl , Liu Hongfu",2022,CVPR2022,9
Multi-Instance Point Cloud Registration by Efficient Correspondence Clustering,"Tang Weixuan , Zou Danping",2022,CVPR2022,0
Contrastive Boundary Learning for Point Cloud Segmentation,"Tang Liyao , Zhan Yibing , Chen Zhe , Yu Baosheng , Tao Dacheng",2022,CVPR2022,0
Details or Artifacts: A Locally Discriminative Learning Approach to Realistic Image Super-Resolution,"Liang Jie , Zeng Hui , Zhang Lei",2022,CVPR2022,0
CVNet: Contour Vibration Network for Building Extraction,"Xu Ziqiang , Xu Chunyan , Cui Zhen , Zheng Xiangwei , Yang Jian",2022,CVPR2022,0
Hyperbolic Image Segmentation,"Atigh Mina Ghadimi , Schoep Julian , Acar Erman , van Noord Nanne , Mettes Pascal",2022,CVPR2022,0
Forward Compatible Training for Large-Scale Embedding Retrieval Systems,"Ramanujan Vivek , Vasu Pavan Kumar Anasosalu , Farhadi Ali , Tuzel Oncel , Pouransari Hadi",2022,CVPR2022,5
Everything at Once - Multi-Modal Fusion Transformer for Video Retrieval,"Shvetsova Nina , Chen Brian , Rouditchenko Andrew , Thomas Samuel , Kingsbury Brian , Feris Rogerio S. , Harwath David , Glass James , Kuehne Hilde",2022,CVPR2022,24
Swin Transformer V2: Scaling Up Capacity and Resolution,"Liu Ze , Hu Han , Lin Yutong , Yao Zhuliang , Xie Zhenda , Wei Yixuan , Ning Jia , Cao Yue , Zhang Zheng , Dong Li , Wei Furu , Guo Baining",2022,CVPR2022,306
Neural Template: Topology-Aware Reconstruction and Disentangled Generation of 3D Meshes,"Hui Ka-Hei , Li Ruihui , Hu Jingyu , Fu Chi-Wing",2022,CVPR2022,5
DEFEAT: Deep Hidden Feature Backdoor Attacks by Imperceptible Perturbation and Latent Representation Constraints,"Zhao Zhendong , Chen Xiaojun , Xuan Yuexin , Dong Ye , Wang Dakui , Liang Kaitai",2022,CVPR2022,10
Projective Manifold Gradient Layer for Deep Rotation Regression,"Chen Jiayi , Yin Yingda , Birdal Tolga , Chen Baoquan , Guibas Leonidas J. , Wang He",2022,CVPR2022,0
CLIMS: Cross Language Image Matching for Weakly Supervised Semantic Segmentation,"Xie Jinheng , Hou Xianxu , Ye Kai , Shen Linlin",2022,CVPR2022,17
Learning To Refactor Action and Co-Occurrence Features for Temporal Action Localization,"Xia Kun , Wang Le , Zhou Sanping , Zheng Nanning , Tang Wei",2022,CVPR2022,0
It's Time for Artistic Correspondence in Music and Video,"Sur{\'\i}s D{\'\i}dac , Vondrick Carl , Russell Bryan , Salamon Justin",2022,CVPR2022,8
Mixed Differential Privacy in Computer Vision,"Golatkar Aditya , Achille Aless,ro , Wang Yu-Xiang , Roth Aaron , Kearns Michael , Soatto Stefano",2022,CVPR2022,15
AdaFace: Quality Adaptive Margin for Face Recognition,"Kim Minchul , Jain Anil K. , Liu Xiaoming",2022,CVPR2022,40
Learning Soft Estimator of Keypoint Scale and Orientation With Probabilistic Covariant Loss,"Yan Pei , Tan Yihua , Xiong Shengzhou , Tai Yuan , Li Yansheng",2022,CVPR2022,1
DN-DETR: Accelerate DETR Training by Introducing Query DeNoising,"Li Feng , Zhang Hao , Liu Shilong , Guo Jian , Ni Lionel M. , Zhang Lei",2022,CVPR2022,0
HCSC: Hierarchical Contrastive Selective Coding,"Guo Yuanfan , Xu Minghao , Li Jiawen , Ni Bingbing , Zhu Xuanyu , Sun Zhenbang , Xu Yi",2022,CVPR2022,21
TransRank: Self-Supervised Video Representation Learning via Ranking-Based Transformation Recognition,"Duan Haodong , Zhao Nanxuan , Chen Kai , Lin Dahua",2022,CVPR2022,2
KeyTr: Keypoint Transporter for 3D Reconstruction of Deformable Objects in Videos,"Novotny David , Rocco Ignacio , Sinha Samarth , Carlier Alex,re , Kerchenbaum Gael , Shapovalov Roman , Smetanin Nikita , Neverova Natalia , Graham Benjamin , Vedaldi Andrea",2022,CVPR2022,2
Invariant Grounding for Video Question Answering,"Li Yicong , Wang Xiang , Xiao Junbin , Ji Wei , Chua Tat-Seng",2022,CVPR2022,0
Prompt Distribution Learning,"Lu Yuning , Liu Jianzhuang , Zhang Yonggang , Liu Yajing , Tian Xinmei",2022,CVPR2022,42
RAGO: Recurrent Graph Optimizer for Multiple Rotation Averaging,"Li Heng , Cui Zhaopeng , Liu Shuaicheng , Tan Ping",2022,CVPR2022,1
Arch-Graph: Acyclic Architecture Relation Predictor for Task-Transferable Neural Architecture Search,"Huang Minbin , Huang Zhijian , Li Changlin , Chen Xin , Xu Hang , Li Zhenguo , Liang Xiaodan",2022,CVPR2022,0
On Aliased Resizing and Surprising Subtleties in GAN Evaluation,"Parmar Gaurav , Zhang Richard , Zhu Jun-Yan",2022,CVPR2022,0
Lepard: Learning Partial Point Cloud Matching in Rigid and Deformable Scenes,"Li Yang , Harada Tatsuya",2022,CVPR2022,19
Virtual Elastic Objects,"Chen Hsiao-yu , Tretschk Edith , Stuyck Tuur , Kadlecek Petr , Kavan Ladislav , Vouga Etienne , Lassner Christoph",2022,CVPR2022,6
DiSparse: Disentangled Sparsification for Multitask Model Compression,"Sun Xinglong , Hassani Ali , Wang Zhangyang , Huang Gao , Shi Humphrey",2022,CVPR2022,1
Pushing the Limits of Simple Pipelines for Few-Shot Learning: External Data and Fine-Tuning Make a Difference,"Hu Shell Xu , Li Da , St\""uhmer Jan , Kim Minyoung , Hospedales Timothy M.",2022,CVPR2022,0
Opening Up Open World Tracking,"Liu Yang , Zulfikar Idil Esen , Luiten Jonathon , Dave Achal , Ramanan Deva , Leibe Bastian , O\v{s}ep Aljo\v{s}a , Leal-Taix\'e Laura",2022,CVPR2022,0
Towards Efficient and Scalable Sharpness-Aware Minimization,"Liu Yong , Mai Siqi , Chen Xiangning , Hsieh Cho-Jui , You Yang",2022,CVPR2022,24
VISTA: Boosting 3D Object Detection via Dual Cross-VIew SpaTial Attention,"Deng Shengheng , Liang Zhihao , Sun Lin , Jia Kui",2022,CVPR2022,20
Rethinking Deep Face Restoration,"Zhao Yang , Su Yu-Chuan , Chu Chun-Te , Li Y,ong , Renn Marius , Zhu Yukun , Chen Changyou , Jia Xuhui",2022,CVPR2022,3
OSSO: Obtaining Skeletal Shape From Outside,"Keller Marilyn , Zuffi Silvia , Black Michael J. , Pujades Sergi",2022,CVPR2022,0
Temporal Alignment Networks for Long-Term Video,"Han Tengda , Xie Weidi , Zisserman Andrew",2022,CVPR2022,0
Few-Shot Head Swapping in the Wild,"Shu Changyong , Wu Hemao , Zhou Hang , Liu Jiaming , Hong Zhibin , Ding Changxing , Han Junyu , Liu Jingtuo , Ding Errui , Wang Jingdong",2022,CVPR2022,6
A Study on the Distribution of Social Biases in Self-Supervised Learning Visual Models,"Sirotkin Kirill , Carballeira Pablo , Escudero-Vi\~nolo Marcos",2022,CVPR2022,6
LAR-SR: A Local Autoregressive Model for Image Super-Resolution,"Guo Baisong , Zhang Xiaoyun , Wu Haoning , Wang Yu , Zhang Ya , Wang Yan-Feng",2022,CVPR2022,0
Bayesian Invariant Risk Minimization,"Lin Yong , Dong Hanze , Wang Hao , Zhang Tong",2022,CVPR2022,12
Democracy Does Matter: Comprehensive Feature Mining for Co-Salient Object Detection,"Yu Siyue , Xiao Jimin , Zhang Bingfeng , Lim Eng Gee",2022,CVPR2022,3
Alleviating Semantics Distortion in Unsupervised Low-Level Image-to-Image Translation via Structure Consistency Constraint,"Guo Jiaxian , Li Jiachen , Fu Huan , Gong Mingming , Zhang Kun , Tao Dacheng",2022,CVPR2022,3
Doodle It Yourself: Class Incremental Learning by Drawing a Few Sketches,"Bhunia Ayan Kumar , Gajjala Viswanatha Reddy , Koley Subhadeep , Kundu Rohit , Sain Aneeshan , Xiang Tao , Song Yi-Zhe",2022,CVPR2022,11
ICON: Implicit Clothed Humans Obtained From Normals,"Xiu Yuliang , Yang Jinlong , Tzionas Dimitrios , Black Michael J.",2022,CVPR2022,54
